TradeId,Date,Time (ET),Strategy,Symbol,Side,Contracts,Entry,Exit,P&L (pts),P&L ($),Reason,ORRangePts
20260825-102500-L,25 Aug 2026,10:25:00,CCORBMGC,MGC,LONG,4,4681.75,4716.50,34.75,1380.40,Stop 🛑,20.00
20260911-100000-L,11 Sep 2026,10:00:00,CCORBMGC,MGC,LONG,3,4443.80,4423.10,-20.70,-628.20,Stop 🛑,19.50
20260914-101500-L,14 Sep 2026,10:15:00,CCORBMGC,MGC,LONG,3,4322.57,4306.23,-16.33,-497.20,Stop 🛑,15.30
20260915-101000-L,15 Sep 2026,10:10:00,CCORBMGC,MGC,LONG,3,4337.90,4323.90,-14.00,-427.20,Stop 🛑,13.70
